Skill / Job Role(Historical trends & salary statistics),Rank6 Months to18 Dec 2020,RankChangeYear-on-Year,Median Salary6 Months to18 Dec 2020,Median Salary% ChangeYear-on-Year,HistoricalPermanentJob Ads,LiveJobVacancies
Developer,1,+1,"£55,000",+10.00%,"18,189 (30.81%)","4,728"
Agile Software Development,2,-1,"£60,000",+9.09%,"17,203 (29.14%)","3,438"
Azure,3,+5,"£57,500",+4.54%,"12,314 (20.86%)","2,628"
JavaScript,4,+1,"£52,500",+5.00%,"11,648 (19.73%)","2,979"
SQL,5,-1,"£52,500",+5.00%,"11,272 (19.09%)","2,178"
Finance,6,-3,"£65,000",+8.33%,"10,897 (18.46%)","1,832"
AWS,7,+5,"£65,000",-,"9,951 (16.85%)","2,096"
DevOps,8,+9,"£60,000",-4.00%,"9,482 (16.06%)","1,995"
Microsoft,9,-3,"£50,000",+11.11%,"9,217 (15.61%)","2,188"
Python,10,+4,"£65,000",+4.00%,"8,933 (15.13%)","1,901"
C#,11,-4,"£52,500",+5.00%,"8,729 (14.78%)","2,153"
Java,12,-2,"£65,000",+4.00%,"8,604 (14.57%)","1,704"
.NET,13,-4,"£55,000",+10.00%,"8,041 (13.62%)","1,887"
Windows,14,-3,"£45,000",+12.50%,"6,603 (11.18%)","1,381"
HTML,15,+3,"£49,500",+4.21%,"6,378 (10.80%)","1,720"
Software Engineering,16,+4,"£60,000",+4.34%,"6,080 (10.30%)","1,798"
CSS,17,+4,"£50,000",+5.26%,"6,000 (10.16%)","1,572"
SQL Server,18,-3,"£50,000",+5.26%,"5,870 (9.94%)","1,383"
Linux,19,+3,"£55,000",+4.76%,"5,578 (9.45%)","1,449"
Docker,20,+14,"£62,500",-3.84%,"5,565 (9.43%)","1,258"
Analyst,21,-8,"£44,000",+10.00%,"5,452 (9.23%)",685
Degree,22,-6,"£55,000",+10.00%,"5,407 (9.16%)","1,755"
Scrum,23,0,"£57,500",+4.54%,"5,059 (8.57%)",929
Microservices,24,+14,"£66,500",-5.00%,"5,006 (8.48%)","1,136"
React,25,+14,"£60,000",+4.34%,"4,968 (8.41%)","1,190"
Problem-Solving,26,-7,"£52,500",+5.00%,"4,804 (8.14%)","1,357"
Git (software),27,0,"£52,500",-,"4,748 (8.04%)","1,127"
Kubernetes,28,+31,"£65,000",-7.14%,"4,585 (7.77%)","1,054"
AngularJS,29,-3,"£55,000",+4.76%,"4,492 (7.61%)","1,047"
TDD,30,-2,"£60,000",+4.34%,"4,472 (7.57%)","1,054"
